psraid;usr_r;sex;q10c;q14a;q14b;q14c;q14d;q14e;q14g;q14h;q17a;q17b;q17c;q17d;q17e;q17f;q17g;q18;q20;q22a;q22b;q22c;q22d;q22e;q24;q25;q26;q29;age;mar;educ;empl;inc;mobileprice
100594;2;2;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;7;0;1;1;3;2;1;2;2; ; ;53;3;7;1;7;136,8
100606;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;61;3;7;2;4;136,8
100617;3;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;3; ;1;2;1;2;1;2;2; ; ;68;1;3;3;3;137,3
100620;3;2;1;2;1;2;2;2;2;2; ; ; ; ; ; ; ;5;1;1;1;1;2;1;3;2; ; ;53;1;6;5; ;137,3
100626;3;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ; ; ;1;1;2;2;1;2; ; ; ;23;1;7;1;3;137,4
100628;1;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;2;1;1;1;2;2;1;2; ; ; ;35;1;3;1;6;137,6
100639;2;1;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;0; ;1;1;1;2;1;2;2; ; ;50; ;6;4; ;137,7
100642;1;1;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;6; ;1;1;1;2;1;2;1; ; ;50;3;7;1;4;137,7
100643;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;54;3;2; ;3;137,8
100647;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;89;5;1;3;2;138,1
100652;1;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;2;1;1;1;2;2;2;2;2; ; ;67;1;5;1;5;138,1
100656;3;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;1; ;1;2;2;2;1;2;2; ; ;60;1;3;2;4;138,1
100665;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1; ;1;1;1;2;1;2;2; ; ;81;1;6;3;5;138,3
100673;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;78;1;5;3;1;138,3
100674;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ; ; ;5; ;1;2;1;2;1;2; ; ; ;45;1;6;1;6;138,6
100675;1;1;1;2;1;2;2; ;1;2; ; ; ; ; ; ; ;4;2;1;1;2;2;1;2;2; ; ;55;1;4;1;4;139,1
100678;1;2;1;2;2;2;2;2;1;2; ; ; ; ; ; ; ;1; ;1;2;1;2;1;2; ; ; ;60;1;7;2;6;139,3
100679;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;21;6;5;1;1;139,5
100682;2;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;6; ;1;1;2;2;1;2;2; ; ;51;6;6;5;5;139,6
100686;2;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;1; ;1;2;3;2;1;2;1;1; ;63; ;5;3; ;139,6
100688;3;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;43;6;6;1;5;139,8
100691;3;1;1;2;2;1;2;2;1;2; ; ; ; ; ; ; ;3; ;1;2;1;2;1;2;2; ; ;63;1;3;3;3;140
100697;3;1;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;5;0;1;1;1;2;1;2;2; ; ; ;3;5;1;5;140
100718;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;78;5;3;3;1;140,1
100722;3;2;1;2;2;1;2;2;2;2; ; ; ; ; ; ; ;2; ;1;1;1;2;1;2;2; ; ; ;1;5;3;8;140,1
100723;2;2;1;2;1;1;2;2;2;2; ; ; ; ; ; ; ;3;0;1;1;2;2;1;1;2; ;2;53;1;5;1;7;140,1
100726;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;59;6;5;1;3;140,2
